admin3_pcode,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,fatalities,score_i,index_battles,index_explosions_remote_violence,index_violence_against_civilians,index_fatalities,index_strategic_developments,index_protests_and_riots,env_battles,env_explosions_remote_violence,env_violence_against_civilians,env_fatalities,score_env,admin1,admin3,partners,beneficiaries
MMR008013,0,1,1,2,1,2,0.01342301063283493,0,0.012987012987012991,0.020833333333333336,0.0037037037037037095,0.021505376344086023,0.028571428571428574,0,0.012987012987012988,0.020833333333333332,0.003703703703703704,0.009381012506012506,Bago-West,Monyo,NA,NA
MMR008014,1,5,1,2,1,3,0.02172318203779629,0.006535947712418299,0.06493506493506494,0.020833333333333336,0.00555555555555556,0.021505376344086023,0.028571428571428574,0.006535947712418301,0.06493506493506493,0.020833333333333332,0.005555555555555556,0.024464975384093028,Bago-West,Gyobingauk,NA,NA
MMR009001,2,20,9,26,11,28,0.15974018963908382,0.013071895424836598,0.2597402597402597,0.22916666666666669,0.05185185185185185,0.2795698924731183,0.2571428571428571,0.013071895424836602,0.2597402597402597,0.22916666666666666,0.05185185185185185,0.1384576684209037,Magway,Magway,1,16853
MMR009002,0,4,1,6,2,2,0.025524092355132352,0,0.051948051948051945,0.04166666666666667,0.0037037037037037095,0.06451612903225808,0.028571428571428574,0,0.05194805194805195,0.041666666666666664,0.003703703703703704,0.024329605579605583,Magway,Yenangyaung,2,12512
MMR009003,0,2,1,4,2,2,0.019912181437388755,0,0.025974025974025983,0.04166666666666667,0.0037037037037037095,0.043010752688172046,0.028571428571428574,0,0.025974025974025976,0.041666666666666664,0.003703703703703704,0.017836099086099087,Magway,Chauk,2,12613
MMR009004,1,16,3,46,28,17,0.17678362408489304,0.006535947712418299,0.20779220779220778,0.5833333333333334,0.031481481481481485,0.49462365591397855,0.08571428571428572,0.006535947712418301,0.2077922077922078,0.5833333333333334,0.03148148148148148,0.20728574257986024,Magway,Taungdwingyi,NA,NA
MMR009005,1,6,0,7,10,7,0.046972104951449684,0.006535947712418299,0.0779220779220779,0.20833333333333331,0.012962962962962963,0.07526881720430108,0,0.006535947712418301,0.07792207792207792,0.20833333333333334,0.012962962962962963,0.07643858048269814,Magway,Myothit,2,20828
MMR009006,1,4,0,13,10,7,0.050941955553514065,0.006535947712418299,0.051948051948051945,0.20833333333333331,0.012962962962962963,0.13978494623655915,0,0.006535947712418301,0.05194805194805195,0.20833333333333334,0.012962962962962963,0.06994507398919164,Magway,Natmauk,1,42
MMR009007,1,3,1,8,0,0,0.022099302423252396,0.006535947712418299,0.03896103896103897,0,0,0.08602150537634409,0.028571428571428574,0.006535947712418301,0.03896103896103896,0,0,0.011374246668364315,Magway,Minbu,1,12904
MMR009008,1,14,3,18,7,11,0.08561911983614248,0.006535947712418299,0.1818181818181818,0.14583333333333334,0.020370370370370372,0.19354838709677422,0.08571428571428572,0.006535947712418301,0.18181818181818182,0.14583333333333334,0.020370370370370372,0.08863945830857596,Magway,Pwintbyu,NA,NA
MMR009009,0,0,2,3,1,0,0.018468688634326564,0,0,0.020833333333333336,0,0.03225806451612904,0.05714285714285715,0,0,0.020833333333333332,0,0.005208333333333333,Magway,Ngape,NA,NA
MMR009010,1,2,1,8,6,7,0.03798991989736465,0.006535947712418299,0.025974025974025983,0.125,0.012962962962962963,0.08602150537634409,0.028571428571428574,0.006535947712418301,0.025974025974025976,0.125,0.012962962962962963,0.042618234162351804,Magway,Salin,2,7770
MMR009011,0,0,0,2,1,0,0.00488093553565802,0,0,0.020833333333333336,0,0.021505376344086023,0,0,0,0.020833333333333332,0,0.005208333333333333,Magway,Sidoktaya,NA,NA
MMR009012,2,3,0,4,1,5,0.016943777441955972,0.013071895424836598,0.03896103896103897,0.020833333333333336,0.009259259259259262,0.043010752688172046,0,0.013071895424836602,0.03896103896103896,0.020833333333333332,0.009259259259259259,0.02053138174461704,Magway,Thayet,NA,NA
MMR009013,0,2,0,7,0,0,0.011600511867623587,0,0.025974025974025983,0,0,0.07526881720430108,0,0,0.025974025974025976,0,0,0.006493506493506494,Magway,Minhla,NA,NA
MMR009014,0,0,0,3,0,0,0.003593160569927992,0,0,0,0,0.03225806451612904,0,0,0,0,0,0,Magway,Mindon,NA,NA
MMR009015,1,1,0,6,1,0,0.012777870206868547,0.006535947712418299,0.012987012987012991,0.020833333333333336,0,0.06451612903225808,0,0.006535947712418301,0.012987012987012988,0.020833333333333332,0,0.010089073508191156,Magway,Kamma,NA,NA
MMR009016,1,1,1,7,3,4,0.02661924391047253,0.006535947712418299,0.012987012987012991,0.0625,0.00740740740740741,0.07526881720430108,0.028571428571428574,0.006535947712418301,0.012987012987012988,0.0625,0.007407407407407408,0.022357592026709675,Magway,Aunglan,NA,NA
MMR009017,0,0,0,0,2,2,0.005709813685346884,0,0,0.04166666666666667,0.0037037037037037095,0,0,0,0,0.041666666666666664,0.003703703703703704,0.011342592592592592,Magway,Sinbaungwe,NA,NA
MMR009018,2,18,9,12,12,38,0.14593524846700845,0.013071895424836598,0.23376623376623376,0.25000000000000006,0.07037037037037037,0.12903225806451615,0.2571428571428571,0.013071895424836602,0.23376623376623376,0.25,0.07037037037037037,0.1418021248903602,Magway,Pakokku,1,46
MMR009019,24,68,2,37,15,83,0.26995692299446256,0.15686274509803919,0.883116883116883,0.3125,0.1537037037037037,0.39784946236559143,0.05714285714285715,0.1568627450980392,0.8831168831168831,0.3125,0.1537037037037037,0.3765458329796565,Magway,Yesagyo,NA,NA
MMR009020,13,37,2,21,13,117,0.19205110859803867,0.0849673202614379,0.4805194805194805,0.27083333333333337,0.2166666666666667,0.22580645161290325,0.05714285714285715,0.08496732026143791,0.4805194805194805,0.2708333333333333,0.21666666666666667,0.26324670019522955,Magway,Myaing,NA,NA
MMR009021,12,31,0,36,20,224,0.24340516487865618,0.07843137254901959,0.40259740259740256,0.41666666666666674,0.4148148148148148,0.38709677419354843,0,0.0784313725490196,0.4025974025974026,0.4166666666666667,0.4148148148148148,0.3281275641569759,Magway,Pauk,NA,NA
MMR009022,0,2,0,1,4,1,0.014725583037559123,0,0.025974025974025983,0.08333333333333334,0.0018518518518518506,0.010752688172043019,0,0,0.025974025974025976,0.08333333333333333,0.001851851851851852,0.027789802789802788,Magway,Seikphyu,2,12261
MMR009023,30,39,4,45,18,540,0.4305544328906761,0.196078431372549,0.5064935064935064,0.375,1,0.48387096774193555,0.1142857142857143,0.19607843137254902,0.5064935064935064,0.375,1,0.5193929844665138,Magway,Gangaw,NA,NA
MMR009024,11,5,1,7,5,67,0.0762742980005223,0.07189542483660129,0.06493506493506494,0.10416666666666666,0.12407407407407407,0.07526881720430108,0.028571428571428574,0.0718954248366013,0.06493506493506493,0.10416666666666667,0.12407407407407407,0.09126780762810174,Magway,Tilin,NA,NA
MMR009025,24,6,0,24,5,183,0.15437215808422353,0.15686274509803919,0.0779220779220779,0.10416666666666666,0.3388888888888889,0.25806451612903225,0,0.1568627450980392,0.07792207792207792,0.10416666666666667,0.3388888888888889,0.16946009464391817,Magway,Saw,1,938
MMR010001,3,11,5,5,7,8,0.07950148669237887,0.019607843137254898,0.14285714285714285,0.14583333333333334,0.014814814814814814,0.05376344086021506,0.14285714285714285,0.0196078431372549,0.14285714285714285,0.14583333333333334,0.014814814814814815,0.08077828353563649,Mandalay,Aungmyaythazan,2,3733
MMR010002,0,38,35,46,28,83,0.4332886792371201,0,0.49350649350649345,0.5833333333333334,0.1537037037037037,0.49462365591397855,1,0,0.4935064935064935,0.5833333333333334,0.1537037037037037,0.30763588263588265,Mandalay,Chanayethazan,NA,NA
MMR010003,5,26,12,21,23,37,0.21963015264402874,0.03267973856209149,0.3376623376623376,0.47916666666666674,0.06851851851851852,0.22580645161290325,0.34285714285714286,0.032679738562091505,0.33766233766233766,0.4791666666666667,0.06851851851851852,0.2295068153524036,Mandalay,Mahaaungmyay,1,2118
MMR010004,5,38,7,18,24,43,0.20906269830662952,0.03267973856209149,0.49350649350649345,0.5,0.07962962962962963,0.19354838709677422,0.19999999999999998,0.032679738562091505,0.4935064935064935,0.5,0.07962962962962963,0.2764539654245537,Mandalay,Chanmyathazi,NA,NA
MMR010005,5,14,4,5,12,23,0.09909546441258286,0.03267973856209149,0.1818181818181818,0.25000000000000006,0.0425925925925926,0.05376344086021506,0.1142857142857143,0.032679738562091505,0.18181818181818182,0.25,0.04259259259259259,0.12677262824321647,Mandalay,Pyigyitagon,1,10402
MMR010006,0,12,1,10,14,9,0.07559267894344697,0,0.1558441558441558,0.2916666666666667,0.016666666666666673,0.10752688172043012,0.028571428571428574,0,0.15584415584415584,0.2916666666666667,0.016666666666666666,0.1160443722943723,Mandalay,Amarapura,1,7797
MMR010007,3,10,0,4,6,11,0.04434318886697195,0.019607843137254898,0.12987012987012986,0.125,0.020370370370370372,0.043010752688172046,0,0.0196078431372549,0.12987012987012986,0.125,0.020370370370370372,0.07371208584443878,Mandalay,Patheingyi,NA,NA
MMR010008,2,1,3,9,2,9,0.04226409912065886,0.013071895424836598,0.012987012987012991,0.04166666666666667,0.016666666666666673,0.09677419354838711,0.08571428571428572,0.013071895424836602,0.012987012987012988,0.041666666666666664,0.016666666666666666,0.02109806043629573,Mandalay,Pyinoolwin,NA,NA
MMR010009,4,17,2,36,28,41,0.17357897741413278,0.026143790849673196,0.22077922077922074,0.5833333333333334,0.07592592592592592,0.38709677419354843,0.05714285714285715,0.026143790849673203,0.22077922077922077,0.5833333333333334,0.07592592592592592,0.22654556772203832,Mandalay,Madaya,1,779
MMR010010,1,5,1,7,11,11,0.05552202804047587,0.006535947712418299,0.06493506493506494,0.22916666666666669,0.020370370370370372,0.07526881720430108,0.028571428571428574,0.006535947712418301,0.06493506493506493,0.22916666666666666,0.020370370370370372,0.08025201242113006,Mandalay,Singu,NA,NA
MMR010011,13,25,10,63,29,65,0.2931751797540419,0.0849673202614379,0.3246753246753246,0.6041666666666667,0.12037037037037038,0.6774193548387097,0.2857142857142857,0.08496732026143791,0.3246753246753247,0.6041666666666666,0.12037037037037036,0.2835449204934499,Mandalay,Mogoke,NA,NA
MMR010012,1,5,1,6,7,9,0.04364350385374093,0.006535947712418299,0.06493506493506494,0.14583333333333334,0.016666666666666673,0.06451612903225808,0.028571428571428574,0.006535947712418301,0.06493506493506493,0.14583333333333334,0.016666666666666666,0.05849275316187081,Mandalay,Thabeikkyin,NA,NA
MMR010013,3,12,4,9,5,16,0.07768988945115968,0.019607843137254898,0.1558441558441558,0.10416666666666666,0.029629629629629634,0.09677419354838711,0.1142857142857143,0.0196078431372549,0.15584415584415584,0.10416666666666667,0.02962962962962963,0.07731207381942676,Mandalay,Kyaukse,NA,NA
MMR010014,2,7,2,11,9,36,0.0754865162977018,0.013071895424836598,0.0909090909090909,0.1875,0.06666666666666667,0.11827956989247312,0.05714285714285715,0.013071895424836602,0.09090909090909091,0.1875,0.06666666666666667,0.08953691325014854,Mandalay,Sintgaing,NA,NA
MMR010015,0,7,0,4,1,0,0.018534022797880634,0,0.0909090909090909,0.020833333333333336,0,0.043010752688172046,0,0,0.09090909090909091,0.020833333333333332,0,0.02793560606060606,Mandalay,Myittha,NA,NA
MMR010016,1,2,1,1,1,2,0.015331344354165471,0.006535947712418299,0.025974025974025983,0.020833333333333336,0.0037037037037037095,0.010752688172043019,0.028571428571428574,0.006535947712418301,0.025974025974025976,0.020833333333333332,0.003703703703703704,0.014261752680870326,Mandalay,Tada-U,NA,NA
MMR010017,14,20,10,43,44,166,0.337270425971753,0.09150326797385619,0.2597402597402597,0.9166666666666667,0.3074074074074074,0.46236559139784955,0.2857142857142857,0.0915032679738562,0.2597402597402597,0.9166666666666666,0.3074074074074074,0.3938294004470475,Mandalay,Myingyan,1,46608
MMR010018,2,8,2,17,13,14,0.08609599621599455,0.013071895424836598,0.10389610389610389,0.27083333333333337,0.025925925925925925,0.18279569892473121,0.05714285714285715,0.013071895424836602,0.1038961038961039,0.2708333333333333,0.025925925925925925,0.10343181464504993,Mandalay,Taungtha,1,45
MMR010019,3,7,2,4,4,75,0.07057987362347962,0.019607843137254898,0.0909090909090909,0.08333333333333334,0.1388888888888889,0.043010752688172046,0.05714285714285715,0.0196078431372549,0.09090909090909091,0.08333333333333333,0.1388888888888889,0.08318478906714201,Mandalay,Natogyi,NA,NA
MMR010020,1,14,4,13,9,11,0.09079652565202083,0.006535947712418299,0.1818181818181818,0.1875,0.020370370370370372,0.13978494623655915,0.1142857142857143,0.006535947712418301,0.18181818181818182,0.1875,0.020370370370370372,0.09905612497524263,Mandalay,Kyaukpadaung,NA,NA
MMR010021,1,3,0,9,3,5,0.026405550060837273,0.006535947712418299,0.03896103896103897,0.0625,0.009259259259259262,0.09677419354838711,0,0.006535947712418301,0.03896103896103896,0.0625,0.009259259259259259,0.029314061483179128,Mandalay,Ngazun,NA,NA
MMR010022,0,5,5,6,8,11,0.07015006955835613,0,0.06493506493506494,0.16666666666666669,0.020370370370370372,0.06451612903225808,0.14285714285714285,0,0.06493506493506493,0.16666666666666666,0.020370370370370372,0.06299302549302549,Mandalay,Nyaung-U,1,71547
MMR010024,0,1,0,1,0,2,0.0035447788328066337,0,0.012987012987012991,0,0.0037037037037037095,0.010752688172043019,0,0,0.012987012987012988,0,0.003703703703703704,0.004172679172679173,Mandalay,Pyawbwe,NA,NA
MMR010028,2,6,7,13,6,16,0.09240408447402296,0.013071895424836598,0.0779220779220779,0.125,0.029629629629629634,0.13978494623655915,0.19999999999999998,0.013071895424836602,0.07792207792207792,0.125,0.02962962962962963,0.06140590074413603,Mandalay,Meiktila,1,40
MMR010029,0,2,3,2,2,1,0.029537362279161886,0,0.025974025974025983,0.04166666666666667,0.0018518518518518506,0.021505376344086023,0.08571428571428572,0,0.025974025974025976,0.041666666666666664,0.001851851851851852,0.017373136123136124,Mandalay,Mahlaing,1,188
MMR010030,0,5,1,2,0,0,0.016631633178777284,0,0.06493506493506494,0,0,0.021505376344086023,0.028571428571428574,0,0.06493506493506493,0,0,0.016233766233766232,Mandalay,Thazi,1,40
MMR010031,1,1,3,4,9,13,0.05365379236617998,0.006535947712418299,0.012987012987012991,0.1875,0.024074074074074074,0.043010752688172046,0.08571428571428572,0.006535947712418301,0.012987012987012988,0.1875,0.024074074074074074,0.057774258693376344,Mandalay,Wundwin,1,229
MMR011001,0,10,13,18,6,12,0.13752244119287266,0,0.12987012987012986,0.125,0.022222222222222223,0.19354838709677422,0.37142857142857144,0,0.12987012987012986,0.125,0.022222222222222223,0.06927308802308801,Mon,Mawlamyine,2,8558
MMR011002,0,2,0,1,1,1,0.0072690975704410455,0,0.025974025974025983,0.020833333333333336,0.0018518518518518506,0.010752688172043019,0,0,0.025974025974025976,0.020833333333333332,0.001851851851851852,0.012164802789802791,Mon,Kyaikmaraw,2,28590
MMR011003,0,2,0,2,3,4,0.014546043132731341,0,0.025974025974025983,0.0625,0.00740740740740741,0.021505376344086023,0,0,0.025974025974025976,0.0625,0.007407407407407408,0.023970358345358347,Mon,Chaungzon,1,583
MMR011004,0,3,1,1,3,4,0.02115157466599742,0,0.03896103896103897,0.0625,0.00740740740740741,0.010752688172043019,0.028571428571428574,0,0.03896103896103896,0.0625,0.007407407407407408,0.02721711159211159,Mon,Thanbyuzayat,NA,NA
MMR011005,0,1,1,12,3,3,0.030740614530974368,0,0.012987012987012991,0.0625,0.00555555555555556,0.12903225806451615,0.028571428571428574,0,0.012987012987012988,0.0625,0.005555555555555556,0.020260642135642135,Mon,Mudon,NA,NA
MMR011006,20,33,7,36,13,72,0.22842025722716824,0.130718954248366,0.42857142857142855,0.27083333333333337,0.13333333333333333,0.38709677419354843,0.19999999999999998,0.13071895424836602,0.42857142857142855,0.2708333333333333,0.13333333333333333,0.2408642623716153,Mon,Ye,NA,NA
MMR011007,23,33,3,11,13,91,0.1852094646399963,0.15032679738562088,0.42857142857142855,0.27083333333333337,0.1685185185185185,0.11827956989247312,0.08571428571428572,0.1503267973856209,0.42857142857142855,0.2708333333333333,0.1685185185185185,0.2545625194522253,Mon,Thaton,1,39
MMR011008,0,10,0,6,4,4,0.034688301199507776,0,0.12987012987012986,0.08333333333333334,0.00740740740740741,0.06451612903225808,0,0,0.12987012987012986,0.08333333333333333,0.007407407407407408,0.05515271765271765,Mon,Paung,3,1032
MMR011009,14,27,1,10,16,110,0.16296723966575533,0.09150326797385619,0.35064935064935066,0.33333333333333337,0.2037037037037037,0.10752688172043012,0.028571428571428574,0.0915032679738562,0.35064935064935066,0.3333333333333333,0.2037037037037037,0.244797413915061,Mon,Kyaikto,2,1563
MMR011010,7,14,0,5,10,23,0.07234004556860718,0.045751633986928095,0.1818181818181818,0.20833333333333331,0.0425925925925926,0.05376344086021506,0,0.0457516339869281,0.18181818181818182,0.20833333333333334,0.04259259259259259,0.11962393543275897,Mon,Bilin,3,7816
MMR012001,0,0,2,6,5,1,0.032373241514046074,0,0,0.10416666666666666,0.0018518518518518506,0.06451612903225808,0.05714285714285715,0,0,0.10416666666666667,0.001851851851851852,0.02650462962962963,Rakhine,Sittwe,12,149885
MMR012002,0,3,0,1,1,5,0.010354979587206511,0,0.03896103896103897,0.020833333333333336,0.009259259259259262,0.010752688172043019,0,0,0.03896103896103896,0.020833333333333332,0.009259259259259259,0.017263407888407887,Rakhine,Ponnagyun,3,1136
MMR012003,0,0,0,4,2,0,0.00976187107131604,0,0,0.04166666666666667,0,0.043010752688172046,0,0,0,0.041666666666666664,0,0.010416666666666666,Rakhine,Mrauk-U,4,13578
MMR012004,0,4,0,4,0,5,0.013070880270324277,0,0.051948051948051945,0,0.009259259259259262,0.043010752688172046,0,0,0.05194805194805195,0,0.009259259259259259,0.015301827801827803,Rakhine,Kyauktaw,2,24261
MMR012005,0,1,0,0,2,1,0.00694863726727527,0,0.012987012987012991,0.04166666666666667,0.0018518518518518506,0,0,0,0.012987012987012988,0.041666666666666664,0.001851851851851852,0.014126382876382876,Rakhine,Minbya,2,16519
MMR012006,0,1,0,0,0,0,0.0016082352688958036,0,0.012987012987012991,0,0,0,0,0,0.012987012987012988,0,0,0.003246753246753247,Rakhine,Myebon,3,4541
MMR012007,0,0,0,1,0,0,0.001197720189975998,0,0,0,0,0.010752688172043019,0,0,0,0,0,0,Rakhine,Pauktaw,6,34038
MMR012008,0,1,0,0,1,0,0.00409373042460183,0,0.012987012987012991,0.020833333333333336,0,0,0,0,0.012987012987012988,0.020833333333333332,0,0.00845508658008658,Rakhine,Rathedaung,4,13295
MMR012009,6,2,0,6,8,11,0.04333719333440177,0.039215686274509796,0.025974025974025983,0.16666666666666669,0.020370370370370372,0.06451612903225808,0,0.0392156862745098,0.025974025974025976,0.16666666666666666,0.020370370370370372,0.0630566873213932,Rakhine,Maungdaw,7,121432
MMR012010,2,2,0,5,4,4,0.023620336143186826,0.013071895424836598,0.025974025974025983,0.08333333333333334,0.00740740740740741,0.05376344086021506,0,0.013071895424836602,0.025974025974025976,0.08333333333333333,0.007407407407407408,0.03244666553490083,Rakhine,Buthidaung,6,147985
MMR012011,0,0,0,2,2,0,0.007366430691364046,0,0,0.04166666666666667,0,0.021505376344086023,0,0,0,0.041666666666666664,0,0.010416666666666666,Rakhine,Kyaukpyu,1,1427
MMR012013,0,0,0,2,0,0,0.0023954403799519943,0,0,0,0,0.021505376344086023,0,0,0,0,0,0,Rakhine,Ramree,NA,NA
MMR012014,0,6,1,3,0,0,0.01943758863764908,0,0.0779220779220779,0,0,0.03225806451612904,0.028571428571428574,0,0.07792207792207792,0,0,0.01948051948051948,Rakhine,Ann,1,2105
MMR012015,0,0,5,5,1,1,0.03981859006428479,0,0,0.020833333333333336,0.0018518518518518506,0.05376344086021506,0.14285714285714285,0,0,0.020833333333333332,0.001851851851851852,0.005671296296296296,Rakhine,Thandwe,NA,NA
MMR012016,0,0,3,7,1,0,0.029454585848576822,0,0,0.020833333333333336,0,0.07526881720430108,0.08571428571428572,0,0,0.020833333333333332,0,0.005208333333333333,Rakhine,Toungup,NA,NA
MMR012017,0,0,1,4,0,0,0.010985897214250261,0,0,0,0,0.043010752688172046,0.028571428571428574,0,0,0,0,0,Rakhine,Gwa,NA,NA
MMR013001,0,23,19,12,17,17,0.2176007824223431,0,0.29870129870129863,0.35416666666666674,0.031481481481481485,0.12903225806451615,0.5428571428571429,0,0.2987012987012987,0.3541666666666667,0.03148148148148148,0.17108736171236172,Yangon,Insein,NA,NA
MMR013002,4,14,0,20,9,12,0.07926336877866734,0.026143790849673196,0.1818181818181818,0.1875,0.022222222222222223,0.21505376344086025,0,0.026143790849673203,0.18181818181818182,0.1875,0.022222222222222223,0.1044210487225193,Yangon,Mingaladon,NA,NA
MMR013003,0,7,0,3,1,1,0.017705714294872055,0,0.0909090909090909,0.020833333333333336,0.0018518518518518506,0.03225806451612904,0,0,0.09090909090909091,0.020833333333333332,0.001851851851851852,0.028398569023569024,Yangon,Hmawbi,1,5961
MMR013004,2,5,0,13,10,7,0.05404800946482061,0.013071895424836598,0.06493506493506494,0.20833333333333331,0.012962962962962963,0.13978494623655915,0,0.013071895424836602,0.06493506493506493,0.20833333333333334,0.012962962962962963,0.07482581416404946,Yangon,Hlegu,1,27837
MMR013005,1,3,2,5,2,9,0.03299685380178947,0.006535947712418299,0.03896103896103897,0.04166666666666667,0.016666666666666673,0.05376344086021506,0.05714285714285715,0.006535947712418301,0.03896103896103896,0.041666666666666664,0.016666666666666666,0.025957580001697646,Yangon,Taikkyi,1,6266
MMR013006,1,0,0,0,1,4,0.005460960545986423,0.006535947712418299,0,0.020833333333333336,0.00740740740740741,0,0,0.006535947712418301,0,0.020833333333333332,0.007407407407407408,0.00869417211328976,Yangon,Htantabin,NA,NA
MMR013007,0,17,5,10,11,13,0.10243508238606266,0,0.22077922077922074,0.22916666666666669,0.024074074074074074,0.10752688172043012,0.14285714285714285,0,0.22077922077922077,0.22916666666666666,0.024074074074074074,0.11850499037999038,Yangon,Shwepyithar,4,380550
MMR013008,7,42,7,20,23,79,0.2317000426221071,0.045751633986928095,0.5454545454545454,0.47916666666666674,0.14629629629629629,0.21505376344086025,0.19999999999999998,0.0457516339869281,0.5454545454545454,0.4791666666666667,0.14629629629629629,0.3041672856011091,Yangon,Hlaingtharya,7,772658
MMR013009,1,25,8,14,5,22,0.12858644755105322,0.006535947712418299,0.3246753246753246,0.10416666666666666,0.040740740740740744,0.15053763440860216,0.2285714285714286,0.006535947712418301,0.3246753246753247,0.10416666666666667,0.040740740740740744,0.1190296699487876,Yangon,Thingangyun,NA,NA
MMR013010,0,10,4,8,2,2,0.056153993711497985,0,0.12987012987012986,0.04166666666666667,0.0037037037037037095,0.08602150537634409,0.1142857142857143,0,0.12987012987012986,0.041666666666666664,0.003703703703703704,0.043810125060125056,Yangon,Yankin,NA,NA
MMR013011,0,20,9,8,6,3,0.11352282098197888,0,0.2597402597402597,0.125,0.00555555555555556,0.08602150537634409,0.2571428571428571,0,0.2597402597402597,0.125,0.005555555555555556,0.09757395382395381,Yangon,South Okkalapa,NA,NA
MMR013012,3,13,9,8,9,21,0.12086452585947202,0.019607843137254898,0.1688311688311688,0.1875,0.038888888888888896,0.08602150537634409,0.2571428571428571,0.0196078431372549,0.16883116883116883,0.1875,0.03888888888888889,0.10370697521432815,Yangon,North Okkalapa,7,255380
MMR013013,4,21,19,14,12,20,0.21145178611651855,0.026143790849673196,0.2727272727272727,0.25000000000000006,0.037037037037037035,0.15053763440860216,0.5428571428571429,0.026143790849673203,0.2727272727272727,0.25,0.037037037037037035,0.14647702515349575,Yangon,Thaketa,NA,NA
MMR013014,0,6,3,4,5,4,0.04693046426271741,0,0.0779220779220779,0.10416666666666666,0.00740740740740741,0.043010752688172046,0.08571428571428572,0,0.07792207792207792,0.10416666666666667,0.007407407407407408,0.047374037999038,Yangon,Dawbon,NA,NA
MMR013015,1,16,26,20,5,7,0.22726777214456867,0.006535947712418299,0.20779220779220778,0.10416666666666666,0.012962962962962963,0.21505376344086025,0.742857142857143,0.006535947712418301,0.2077922077922078,0.10416666666666667,0.012962962962962963,0.08286444628356393,Yangon,Tamwe,NA,NA
MMR013016,0,6,2,6,1,1,0.032080672504596786,0,0.0779220779220779,0.020833333333333336,0.0018518518518518506,0.06451612903225808,0.05714285714285715,0,0.07792207792207792,0.020833333333333332,0.001851851851851852,0.025151815776815776,Yangon,Pazundaung,NA,NA
MMR013017,1,6,1,5,3,8,0.033742626622869205,0.006535947712418299,0.0779220779220779,0.0625,0.014814814814814814,0.05376344086021506,0.028571428571428574,0.006535947712418301,0.07792207792207792,0.0625,0.014814814814814815,0.04044321011232776,Yangon,Botahtaung,NA,NA
MMR013018,6,19,10,13,16,47,0.17419418075540027,0.039215686274509796,0.24675324675324672,0.33333333333333337,0.08703703703703705,0.13978494623655915,0.2857142857142857,0.0392156862745098,0.24675324675324675,0.3333333333333333,0.08703703703703704,0.17658482584953172,Yangon,Dagon Myothit (South),1,2770
MMR013019,0,16,9,17,7,17,0.12552662038942947,0,0.20779220779220778,0.14583333333333334,0.031481481481481485,0.18279569892473121,0.2571428571428571,0,0.2077922077922078,0.14583333333333334,0.03148148148148148,0.09627675565175565,Yangon,Dagon Myothit (North),NA,NA
MMR013020,0,3,0,5,2,7,0.018370178876751356,0,0.03896103896103897,0.04166666666666667,0.012962962962962963,0.05376344086021506,0,0,0.03896103896103896,0.041666666666666664,0.012962962962962963,0.02339766714766715,Yangon,Dagon Myothit (East),NA,NA
MMR013021,0,10,4,4,8,13,0.07033961244247172,0,0.12987012987012986,0.16666666666666669,0.024074074074074074,0.043010752688172046,0.1142857142857143,0,0.12987012987012986,0.16666666666666666,0.024074074074074074,0.08015271765271766,Yangon,Dagon Myothit (Seikkan),2,276430
MMR013022,0,9,10,3,7,6,0.09963237874519962,0,0.11688311688311687,0.14583333333333334,0.011111111111111112,0.03225806451612904,0.2857142857142857,0,0.11688311688311688,0.14583333333333334,0.011111111111111112,0.06845689033189034,Yangon,Mingalartaungnyunt,NA,NA
MMR013023,5,11,2,9,9,18,0.07736806255515173,0.03267973856209149,0.14285714285714285,0.1875,0.03333333333333333,0.09677419354838711,0.05714285714285715,0.032679738562091505,0.14285714285714285,0.1875,0.03333333333333333,0.09909255368814192,Yangon,Thanlyin,1,11963
MMR013024,0,0,0,0,2,2,0.005709813685346884,0,0,0.04166666666666667,0.0037037037037037095,0,0,0,0,0.041666666666666664,0.003703703703703704,0.011342592592592592,Yangon,Kyauktan,NA,NA
MMR013025,0,1,0,7,2,4,0.016440913658009496,0,0.012987012987012991,0.04166666666666667,0.00740740740740741,0.07526881720430108,0,0,0.012987012987012988,0.041666666666666664,0.007407407407407408,0.015515271765271763,Yangon,Thongwa,NA,NA
MMR013026,3,4,0,5,5,14,0.03451423734876934,0.019607843137254898,0.051948051948051945,0.10416666666666666,0.025925925925925925,0.05376344086021506,0,0.0196078431372549,0.05194805194805195,0.10416666666666667,0.025925925925925925,0.05041212191947487,Yangon,Kayan,NA,NA
MMR013027,3,4,1,12,5,15,0.04946270681991501,0.019607843137254898,0.051948051948051945,0.10416666666666666,0.027777777777777776,0.12903225806451615,0.028571428571428574,0.0196078431372549,0.05194805194805195,0.10416666666666667,0.027777777777777776,0.05087508488243783,Yangon,Twantay,NA,NA
MMR013028,4,1,0,5,5,18,0.03266499693236233,0.026143790849673196,0.012987012987012991,0.10416666666666666,0.03333333333333333,0.05376344086021506,0,0.026143790849673203,0.012987012987012988,0.10416666666666667,0.03333333333333333,0.04415770095917155,Yangon,Kawhmu,NA,NA
MMR013029,1,2,2,2,5,16,0.037837825238855656,0.006535947712418299,0.025974025974025983,0.10416666666666666,0.029629629629629634,0.021505376344086023,0.05714285714285715,0.006535947712418301,0.025974025974025976,0.10416666666666667,0.02962962962962963,0.04157656749568514,Yangon,Kungyangon,NA,NA
